name,calories,protein,carbs,fat,portions,meal_type,photo_path,description,ingredients,is_community
Salade Niçoise with Tuna & Eggs,600,55,45,24,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/salade_nicoise_with_tuna_eggs.jpg,"Boil potatoes and green beans. Boil eggs. Arrange lettuce, tomatoes, beans, potatoes, tuna, eggs and olives. Dress with olive oil, lemon and mustard.","[{""name"": ""tuna in water"", ""quantity"": ""150 g""}, {""name"": ""eggs"", ""quantity"": ""2 piece""}, {""name"": ""potatoes"", ""quantity"": ""150 g""}, {""name"": ""green beans"", ""quantity"": ""100 g""}, {""name"": ""tomatoes"", ""quantity"": ""100 g""}, {""name"": ""lettuce"", ""quantity"": """"}, {""name"": ""olives"", ""quantity"": ""30 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""dijon mustard"", ""quantity"": """"}]",true
Chicken Ratatouille Bowl,560,58,45,17,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chicken_ratatouille_bowl.jpg,"Brown chicken. Cook onion, zucchini and eggplant. Add tomatoes and garlic. Simmer 15–20 minutes. Add cooked lentils. Serve sliced chicken on top.","[{""name"": ""chicken breast"", ""quantity"": ""180 g""}, {""name"": ""zucchini"", ""quantity"": ""150 g""}, {""name"": ""eggplant"", ""quantity"": ""100 g""}, {""name"": ""tomatoes"", ""quantity"": ""120 g""}, {""name"": ""onion"", ""quantity"": ""50 g""}, {""name"": ""cooked lentils"", ""quantity"": ""100 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""herbes de provence"", ""quantity"": """"}]",true
High-Protein Quiche Lorraine with Turkey,500,43,35,22,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/high_protein_quiche_lorraine_with_turkey.jpg,"Place pastry in tart tin. Add chopped turkey. Whisk eggs, egg whites, milk and cottage cheese. Pour over turkey. Add Gruyère. Bake at 180°C for 35–40 minutes.","[{""name"": ""whole-grain pie crust"", ""quantity"": ""1 piece""}, {""name"": ""eggs"", ""quantity"": ""4 piece""}, {""name"": ""egg whites"", ""quantity"": ""200 g""}, {""name"": ""turkey breast"", ""quantity"": ""120 g""}, {""name"": ""cottage cheese"", ""quantity"": ""80 g""}, {""name"": ""gruyère"", ""quantity"": ""50 g""}, {""name"": ""milk"", ""quantity"": ""100 ml""}, {""name"": ""nutmeg"", ""quantity"": """"}, {""name"": ""pepper"", ""quantity"": """"}]",true
Blanquette-Style Chicken with Mushrooms,520,60,30,16,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/blanquette_style_chicken_with_mushrooms.jpg,Cook chicken and vegetables gently. Make light sauce with flour and milk. Add mushrooms. Remove from heat and stir in Greek yogurt. Finish with lemon and parsley.,"[{""name"": ""chicken breast"", ""quantity"": ""200 g""}, {""name"": ""mushrooms"", ""quantity"": ""150 g""}, {""name"": ""carrots"", ""quantity"": ""100 g""}, {""name"": ""onion"", ""quantity"": ""80 g""}, {""name"": ""low-fat milk"", ""quantity"": ""150 ml""}, {""name"": ""greek yogurt"", ""quantity"": ""80 g""}, {""name"": ""flour"", ""quantity"": ""10 g""}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""parsley"", ""quantity"": """"}]",true
Tuna Pan Bagnat,590,50,58,19,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/tuna_pan_bagnat.jpg,"Mix tuna with lemon and olive oil. Fill bread with tuna, egg, tomato, cucumber, lettuce and olives. Press firmly before serving.","[{""name"": ""whole-grain round bread"", ""quantity"": ""1 piece""}, {""name"": ""tuna"", ""quantity"": ""150 g""}, {""name"": ""egg"", ""quantity"": ""1 piece""}, {""name"": ""tomato"", ""quantity"": """"}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""lettuce"", ""quantity"": """"}, {""name"": ""olives"", ""quantity"": ""20 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""lemon"", ""quantity"": """"}]",true
Turkey Croque-Monsieur with Side Salad,560,48,48,22,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/turkey_croque_monsieur_with_side_salad.jpg,"Build sandwich with mustard, turkey and cheese. Cover with béchamel and extra cheese. Bake until golden. Serve with dressed salad.","[{""name"": ""slices whole-grain bread"", ""quantity"": ""2 piece""}, {""name"": ""turkey"", ""quantity"": ""120 g""}, {""name"": ""gruyère"", ""quantity"": ""40 g""}, {""name"": ""light béchamel"", ""quantity"": ""60 ml""}, {""name"": ""green salad"", ""quantity"": """"}, {""name"": ""tomato"", ""quantity"": """"}, {""name"": ""dijon mustard"", ""quantity"": """"}]",true
Lentil & Salmon French Bistro Salad,570,47,43,24,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/lentil_salmon_french_bistro_salad.jpg,Cook salmon and let cool slightly. Combine lentils and vegetables. Make yogurt-Dijon dressing. Add salmon and herbs.,"[{""name"": ""cooked green lentils"", ""quantity"": ""150 g""}, {""name"": ""cooked salmon"", ""quantity"": ""150 g""}, {""name"": ""carrot"", ""quantity"": ""100 g""}, {""name"": ""cucumber"", ""quantity"": ""50 g""}, {""name"": ""mixed greens"", ""quantity"": """"}, {""name"": ""greek yogurt"", ""quantity"": ""50 g""}, {""name"": ""dijon mustard"", ""quantity"": """"}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""dill"", ""quantity"": """"}]",true
Beef Bourguignon — Alcohol-Free,650,50,52,25,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/beef_bourguignon_alcohol_free.jpg,"Brown beef well. Add onion and carrot. Add tomato and stock. Add mushrooms, garlic, thyme and bay. Simmer 1½–2 hours. Serve with boiled potatoes.","[{""name"": ""lean beef"", ""quantity"": ""180 g""}, {""name"": ""mushrooms"", ""quantity"": ""150 g""}, {""name"": ""carrots"", ""quantity"": ""100 g""}, {""name"": ""onion"", ""quantity"": ""100 g""}, {""name"": ""beef stock"", ""quantity"": ""150 ml""}, {""name"": ""tomato passata"", ""quantity"": ""100 g""}, {""name"": ""potatoes"", ""quantity"": ""150 g""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}, {""name"": ""bay leaf"", ""quantity"": """"}]",true
High-Protein Hachis Parmentier,580,49,48,23,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/high_protein_hachis_parmentier.jpg,Cook beef with onion and carrot. Boil potato and cauliflower. Mash with Greek yogurt. Layer beef and mash in baking dish. Add cheese. Bake until golden.,"[{""name"": ""lean minced beef"", ""quantity"": ""180 g""}, {""name"": ""potato"", ""quantity"": ""150 g""}, {""name"": ""cauliflower"", ""quantity"": ""100 g""}, {""name"": ""carrot"", ""quantity"": ""80 g""}, {""name"": ""onion"", ""quantity"": ""50 g""}, {""name"": ""greek yogurt"", ""quantity"": ""50 g""}, {""name"": ""grated cheese"", ""quantity"": ""25 g""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}]",true
Bouillabaisse-Style High-Protein Fish Stew,520,58,38,12,1,lunch,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/bouillabaisse_style_high_protein_fish_stew.jpg,"Cook onion, fennel and garlic. Add tomatoes, stock and saffron. Add potatoes and simmer. Add cod, prawns and mussels near the end. Cook until seafood is just done.","[{""name"": ""cod"", ""quantity"": ""120 g""}, {""name"": ""prawns"", ""quantity"": ""100 g""}, {""name"": ""mussels"", ""quantity"": ""100 g""}, {""name"": ""tomatoes"", ""quantity"": ""150 g""}, {""name"": ""fennel"", ""quantity"": ""100 g""}, {""name"": ""potato"", ""quantity"": ""80 g""}, {""name"": ""onion"", ""quantity"": """"}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""saffron"", ""quantity"": """"}, {""name"": ""fish stock"", ""quantity"": """"}, {""name"": ""parsley"", ""quantity"": """"}]",true
Chicken Coq-au-Vin Style — No Alcohol,600,55,38,24,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chicken_coq_au_vin_style_no_alcohol.jpg,Brown chicken. Add vegetables and tomato paste. Add stock and diluted grape juice. Add herbs. Simmer 35–45 minutes until tender.,"[{""name"": ""chicken thighs, skinless"", ""quantity"": ""220 g""}, {""name"": ""mushrooms"", ""quantity"": ""150 g""}, {""name"": ""carrots"", ""quantity"": ""100 g""}, {""name"": ""onion"", ""quantity"": ""100 g""}, {""name"": ""chicken stock"", ""quantity"": ""200 ml""}, {""name"": ""grape juice"", ""quantity"": ""100 ml""}, {""name"": ""water"", ""quantity"": ""100 ml""}, {""name"": ""tomato paste"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}, {""name"": ""bay leaf"", ""quantity"": """"}]",true
Lean Beef Bourguignon with Cauliflower Mash,590,58,25,27,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/lean_beef_bourguignon_with_cauliflower_mash.jpg,"Cook beef slowly with vegetables, stock and herbs until tender. Steam cauliflower. Mash cauliflower with Greek yogurt. Serve beef over mash.","[{""name"": ""lean beef"", ""quantity"": ""200 g""}, {""name"": ""mushrooms"", ""quantity"": ""200 g""}, {""name"": ""carrot"", ""quantity"": """"}, {""name"": ""onion"", ""quantity"": """"}, {""name"": ""beef stock"", ""quantity"": """"}, {""name"": ""tomato paste"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}, {""name"": ""cauliflower"", ""quantity"": ""250 g""}, {""name"": ""greek yogurt"", ""quantity"": ""50 g""}]",true
Chicken Chasseur,610,62,47,18,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chicken_chasseur.jpg,Brown chicken. Sauté onion and mushrooms. Add tomatoes and stock. Return chicken and simmer until cooked. Serve with potatoes.,"[{""name"": ""chicken breast"", ""quantity"": ""220 g""}, {""name"": ""mushrooms"", ""quantity"": ""150 g""}, {""name"": ""tomatoes"", ""quantity"": ""150 g""}, {""name"": ""onion"", ""quantity"": ""100 g""}, {""name"": ""potatoes"", ""quantity"": ""150 g""}, {""name"": ""chicken stock"", ""quantity"": """"}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""parsley"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}]",true
Turkey Ratatouille with Herbed Potatoes,580,58,55,15,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/turkey_ratatouille_with_herbed_potatoes.jpg,Cook ratatouille slowly. Roast potatoes with herbs. Grill or pan-cook turkey. Slice and serve over vegetables.,"[{""name"": ""turkey breast"", ""quantity"": ""220 g""}, {""name"": ""ratatouille vegetables"", ""quantity"": ""250 g""}, {""name"": ""potatoes"", ""quantity"": ""180 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""basil"", ""quantity"": """"}, {""name"": ""herbes de provence"", ""quantity"": """"}]",true
Salmon Gratin Dauphinois-Style,680,47,45,34,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/salmon_gratin_dauphinois_style.jpg,Slice potatoes thinly. Layer with spinach. Mix milk and yogurt with garlic and nutmeg. Add salmon and cheese. Bake at 180°C until potatoes are tender.,"[{""name"": ""salmon"", ""quantity"": ""180 g""}, {""name"": ""potatoes"", ""quantity"": ""200 g""}, {""name"": ""spinach"", ""quantity"": ""100 g""}, {""name"": ""milk"", ""quantity"": ""100 ml""}, {""name"": ""greek yogurt"", ""quantity"": ""50 g""}, {""name"": ""gruyère"", ""quantity"": ""30 g""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""nutmeg"", ""quantity"": """"}]",true
High-Protein Tartiflette with Chicken,690,54,55,31,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/high_protein_tartiflette_with_chicken.jpg,"Cook potatoes. Sauté onion and mushrooms. Add chicken. Layer potatoes, chicken and vegetables. Add yogurt seasoning. Top with Reblochon and bake until bubbling.","[{""name"": ""chicken breast"", ""quantity"": ""180 g""}, {""name"": ""potatoes"", ""quantity"": ""250 g""}, {""name"": ""reblochon"", ""quantity"": ""80 g""}, {""name"": ""onion"", ""quantity"": ""100 g""}, {""name"": ""mushrooms"", ""quantity"": ""100 g""}, {""name"": ""greek yogurt"", ""quantity"": ""50 g""}, {""name"": ""black pepper"", ""quantity"": """"}]",true
Chicken Cassoulet-Style,650,57,57,22,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chicken_cassoulet_style.jpg,"Brown chicken. Cook onion and carrot. Add beans, tomato and stock. Add herbs and chicken. Simmer 30–40 minutes. Finish under grill for a browned top.","[{""name"": ""chicken thigh"", ""quantity"": ""180 g""}, {""name"": ""white beans"", ""quantity"": ""180 g""}, {""name"": ""carrot"", ""quantity"": ""100 g""}, {""name"": ""tomato"", ""quantity"": ""100 g""}, {""name"": ""onion"", ""quantity"": """"}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""thyme"", ""quantity"": """"}, {""name"": ""bay leaf"", ""quantity"": """"}, {""name"": ""chicken stock"", ""quantity"": """"}]",true
Steak au Poivre with Green Beans,650,57,43,30,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/steak_au_poivre_with_green_beans.jpg,Season steak with pepper. Sear and rest. Make light mustard-yogurt sauce. Serve with potatoes and green beans.,"[{""name"": ""lean beef steak"", ""quantity"": ""200 g""}, {""name"": ""green beans"", ""quantity"": ""200 g""}, {""name"": ""potatoes"", ""quantity"": ""180 g""}, {""name"": ""greek yogurt"", ""quantity"": ""60 g""}, {""name"": ""crushed black pepper"", ""quantity"": """"}, {""name"": ""dijon mustard"", ""quantity"": """"}, {""name"": ""garlic"", ""quantity"": """"}]",true
Turkey Meatballs à la Provençale,670,62,64,18,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/turkey_meatballs_a_la_provencale.jpg,"Mix turkey, egg, oats and herbs. Form meatballs and brown. Add tomato sauce and zucchini. Simmer 15 minutes. Serve over pasta.","[{""name"": ""lean turkey mince"", ""quantity"": ""220 g""}, {""name"": ""egg"", ""quantity"": ""1 piece""}, {""name"": ""oats"", ""quantity"": ""20 g""}, {""name"": ""tomato passata"", ""quantity"": ""200 g""}, {""name"": ""zucchini"", ""quantity"": ""100 g""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""basil"", ""quantity"": """"}, {""name"": ""herbes de provence"", ""quantity"": """"}, {""name"": ""cooked whole-grain pasta"", ""quantity"": ""150 g""}]",true
Garlic-Herb Cod with French Lentils,550,61,43,14,1,dinner,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/garlic_herb_cod_with_french_lentils.jpg,"Cook lentils with carrots and leeks. Season cod with garlic, lemon and parsley. Bake at 200°C for 12–15 minutes. Serve cod over lentils.","[{""name"": ""cod"", ""quantity"": ""220 g""}, {""name"": ""cooked green lentils"", ""quantity"": ""180 g""}, {""name"": ""carrots"", ""quantity"": ""100 g""}, {""name"": ""leeks"", ""quantity"": ""100 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""garlic"", ""quantity"": """"}, {""name"": ""parsley"", ""quantity"": """"}, {""name"": ""lemon"", ""quantity"": """"}]",true
Skyr with Strawberries,210,24,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/skyr_with_strawberries.jpg,Combine all ingredients in a bowl.,"[{""name"": ""skyr"", ""quantity"": ""200 g""}, {""name"": ""strawberries"", ""quantity"": ""100 g""}, {""name"": ""almonds"", ""quantity"": ""10 g""}, {""name"": ""cinnamon"", ""quantity"": """"}]",true
Cottage Cheese & Apple,300,25,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/cottage_cheese_apple.jpg,"Dice apple and combine with cottage cheese, cinnamon and walnuts.","[{""name"": ""cottage cheese"", ""quantity"": ""200 g""}, {""name"": ""small apple"", ""quantity"": ""1 piece""}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""walnuts"", ""quantity"": ""10 g""}]",true
Tuna Cucumber Bites,190,28,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/tuna_cucumber_bites.jpg,Mix tuna with yogurt and mustard. Spoon onto cucumber slices.,"[{""name"": ""tuna"", ""quantity"": ""100 g""}, {""name"": ""greek yogurt"", ""quantity"": ""60 g""}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""dijon mustard"", ""quantity"": """"}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""dill"", ""quantity"": """"}]",true
Boiled Eggs & Crudités,280,20,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/boiled_eggs_crudites.jpg,Boil eggs 9–10 minutes. Cut vegetables. Mix yogurt and Dijon as dip.,"[{""name"": ""eggs"", ""quantity"": ""2 piece""}, {""name"": ""carrot"", ""quantity"": """"}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""cherry tomatoes"", ""quantity"": """"}, {""name"": ""greek yogurt"", ""quantity"": ""40 g""}, {""name"": ""dijon mustard"", ""quantity"": """"}]",true
Mini Turkey & Gruyère Roll-Ups,240,29,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/mini_turkey_gruyere_roll_ups.jpg,Spread mustard. Add cheese and cucumber. Roll tightly and slice.,"[{""name"": ""turkey slices"", ""quantity"": ""100 g""}, {""name"": ""gruyère"", ""quantity"": ""40 g""}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""mustard"", ""quantity"": """"}]",true
Skyr Chocolate Mousse,220,25,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/skyr_chocolate_mousse.jpg,"Whisk skyr, cocoa, vanilla and honey. Chill. Shave dark chocolate over top.","[{""name"": ""skyr"", ""quantity"": ""200 g""}, {""name"": ""unsweetened cocoa"", ""quantity"": ""10 g""}, {""name"": ""dark chocolate"", ""quantity"": ""10 g""}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""honey"", ""quantity"": ""1 tsp""}]",true
Edamame & Lemon Snack Bowl,210,18,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/edamame_lemon_snack_bowl.jpg,"Steam edamame. Season with lemon, salt and chili.","[{""name"": ""edamame"", ""quantity"": ""150 g""}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""sea salt"", ""quantity"": """"}, {""name"": ""chili flakes"", ""quantity"": """"}]",true
Greek Yogurt & Blueberry Bowl,250,23,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/greek_yogurt_blueberry_bowl.jpg,Mix or layer ingredients.,"[{""name"": ""greek yogurt"", ""quantity"": ""200 g""}, {""name"": ""blueberries"", ""quantity"": ""100 g""}, {""name"": ""almonds"", ""quantity"": ""15 g""}, {""name"": ""cinnamon"", ""quantity"": """"}]",true
Smoked Salmon Cucumber Rolls,220,27,,,1,snack,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/smoked_salmon_cucumber_rolls.jpg,Cut cucumber into long ribbons. Spread cottage cheese. Add salmon and roll.,"[{""name"": ""smoked salmon"", ""quantity"": ""80 g""}, {""name"": ""cottage cheese"", ""quantity"": ""100 g""}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""dill"", ""quantity"": """"}]",true
