name,description,mealType,portions,calories,protein,carbs,fat,nutriScore,ingredients,image_description
Pancakes à la Farine de Châtaigne,"Pancakes moelleux élaborés avec de la farine de châtaigne de Ardèche, servis avec un filet de miel.",breakfast,2,450,12,64,15,B,80g Farine de châtaigne; 40g Farine de blé; 1 Œuf; 150ml Lait; 20g Miel,A stack of earthy chestnut flour pancakes drizzle-covered in clear chestnut honey on a white plate.
Tartine Chèvre Frais et Radis Rose,"Tartine de pain de seigle recouverte de fromage de chèvre frais, de rondelles de radis et de ciboulette.",breakfast,2,310,13,30,14,A,90g Pain de seigle; 80g Chèvre frais; 6 Radis roses; 1 c. à soupe Ciboulette,"Dark rye bread spread with creamy white goat cheese, topped with thin translucent slices of pink radish and chopped chives."
Œufs Brouillés à la Ciboulette et Bacon de Bœuf,Œufs brouillés bien crémeux accompagnés de tranches de bacon de bœuf grillées et croustillantes.,breakfast,2,460,26,8,36,B,5 Œufs; 60g Bacon de bœuf; 15g Beurre; 1 c. à soupe Ciboulette,"Soft creamy scrambled eggs garnished with fresh chives, served alongside strips of crispy browned beef bacon."
Crêpes Bretonnes au Sucre et Citron,Crêpes fines de froment garnies d'un jus de citron frais et d'un saupoudrage de sucre blond.,breakfast,2,370,10,58,10,B,100g Farine de froment; 200ml Lait; 1 Œuf; 20g Sucre blond; 1/2 Citron,"Thin French wheat crêpes folded into triangles, sprinkled with fine sugar and squeezed lemon juice."
Compote de Pommes Maison et Sablés,"Compote tiède de pommes Reinette à la vanille, servie avec de petits sablés bretons.",breakfast,2,330,5,54,11,B,300g Pommes Reinette; 1/2 Gousse de vanille; 40g Sablés bretons,"A glass bowl of warm homemade apple compote with vanilla bean specks, accompanied by round buttery Breton shortbread biscuits."
"Tartine de Ricotta, Figue et Noix","Pain de campagne grillé tartiné de ricotta onctueuse, garni de figues fraîches et de cerneaux de noix.",breakfast,2,390,12,44,18,A,90g Pain de campagne; 80g Ricotta; 2 Figues fraîches; 20g Noix,"Rustic bread topped with creamy ricotta, sliced ripe fresh purple figs, and crunchy crushed walnuts drizzled with honey."
Petit-Déjeuner Comtois (Comté et Pain de Seigle),Tranches de Comté AOP affiné 12 mois servies avec du pain de seigle et des noix.,breakfast,2,470,22,32,28,B,70g Comté AOP 12 mois; 100g Pain de seigle; 20g Cerneaux de noix,Slices of aged French Comté cheese laid on a rustic wooden board with thick slices of dark rye bread and whole walnuts.
Porridge d'Épeautre au Lait d'Amande et Poire,"Flocons d'épeautre cuits dans du lait d'amande sans sucre, agrémentés de morceaux de poire et de cannelle.",breakfast,2,320,11,48,8,A,70g Flocons d'épeautre; 300ml Lait d'amande; 1 Poire; 1 c. à café Cannelle moulue,A soothing bowl of spelt porridge topped with juicy pear slices and dustings of warm cinnamon.
Tartine Beurre de Cacahuète Maison et Banane,Pain complet grillé tartiné de purée d'amandes/cacahuètes 100% et rondelles de banane.,breakfast,2,420,14,52,18,A,90g Pain complet; 30g Purée de cacahuète 100%; 1 Banane,"Whole grain toast spread with rich peanut butter and sliced banana roundels, topped with a dash of chia seeds."
Omelette Sucrée aux Pommes Caramelisées,"Omelette légère légèrement sucrée, garnie de pommes poêlées au beurre.",breakfast,2,380,14,42,17,B,4 Œufs; 2 Pommes; 15g Beurre; 15g Sucre roux,A fluffy sweet French omelette folded around caramelized golden apple slices in a copper pan.
"Yaourt à la Grecque, Myrtilles et Graines de Courge",Yaourt grec crémeux surmonté de myrtilles fraîches et de graines de courge torréfiées.,breakfast,2,310,15,24,17,A,250g Yaourt grec; 100g Myrtilles; 20g Graines de courge; 10g Miel,White Greek yogurt in a rustic bowl filled with ripe dark blueberries and toasted green pumpkin seeds.
Gaufres Flamandes Légères et Sirop d'Agave,"Gaufres croustillantes faites maison à la farine semi-complète, servies avec sirop d'agave.",breakfast,2,410,11,56,15,B,100g Farine T80; 150ml Lait; 1 Œuf; 25g Sirop d'agave,Golden grid waffles dusted with light sweetener and drizzled with amber agave syrup on a white ceramic plate.
Toast à la Purée d'Avocat et Saumon Fumé,Tranche de pain au levain garnie de purée d'avocat au citron et d'une tranche de saumon fumé.,breakfast,2,430,20,30,25,A,90g Pain au levain; 1/2 Avocat; 80g Saumon fumé; 2 brins Aneth fraîche,"Sourdough toast topped with creamy avocado mash, delicate folds of smoked salmon, and fresh dill sprigs."
Tartine de Tapenade d'Figue et Fromage Frais,Pain grillé nappé de fromage frais de brebis et de confit de figue légère.,breakfast,2,340,10,42,14,A,80g Pain aux céréales; 70g Fromage de brebis frais; 25g Confit de figue,"Seeded bread toasted and spread with sheep's milk fresh cheese, topped with sweet dark fig preserves."
Bowl Cake Avoine Banane et Pépites de Chocolat,"Gâteau express cuit au bol à base de flocons d'avoine, banane écrasée et pépites de chocolat noir.",breakfast,2,400,15,54,14,A,70g Flocons d'avoine; 1 Banane; 1 Œuf; 15g Pépites chocolat noir 70%; 30ml Lait,"A small round oatmeal bowl cake unmolded on a plate, revealing dark melted chocolate chips and banana slices."
Œufs en Cocotte à la Crème et Tarragon,Œufs cuits au bain-marie dans des ramequins avec de la crème fraîche et de l'estragon frais.,breakfast,2,330,15,4,28,A,4 Œufs; 60g Crème fraîche 30%; 1 c. à soupe Estragon frais; 5g Beurre pour ramequins,Two ceramic ramekins containing creamy baked eggs with silky yolks and chopped fresh tarragon leaves.
Pain aux Raisins Artisan et Café au Lait,"Viennoiserie feuilletée aux raisins secs et crème pâtissière, accompagnée d'un grand café au lait.",breakfast,2,440,9,60,18,C,2 Pain aux raisins; 200ml Café; 100ml Lait demi-écrémé,A spiral French pain aux raisins pastry with shiny glaze alongside a steaming bowl of classic French café au lait.
Tartine de Ricotta et Fraises au Basilic,"Pain de campagne grillé avec ricotta mousseuse, fraises fraîches tranchées et feuilles de basilic.",breakfast,2,320,11,42,11,A,80g Pain de campagne; 80g Ricotta; 120g Fraises; 4 feuilles Basilic frais,"Toasted rustic bread spread with whipped ricotta, covered in sliced red strawberries and fresh basil ribbons."
Roulés de Jambon de Dinde et Cheese Frais,Tranches de jambon de dinde roulées avec du fromage frais aux herbes et bâtonnets de concombre.,breakfast,2,280,24,6,18,A,140g Jambon de dinde; 60g Fromage frais aux herbes; 1/2 Concombre,"Neat rolls of sliced turkey ham filled with herb cream cheese, arranged on a white porcelain dish with fresh cucumber sticks."
Scones à la Farine Complète et Confiture d'Abricot,"Scones faits maison peu sucrés, servis tièdes avec confiture d'abricot de Provence.",breakfast,2,420,10,62,14,B,120g Farine complète T150; 30g Beurre; 60ml Lait; 30g Confiture d'abricot,"Two warm whole-wheat scones split open, served with a jar of orange apricot jam and a touch of whipped butter."
Salade Niçoise Authentique (Sans Pomme de Terre),"Salade rafraîchissante du Sud avec thon au naturel, œufs durs, tomates, olives de Nice et anchois.",lunch,2,450,32,12,30,A,160g Thon au naturel en boîte; 2 Œufs durs; 2 Tomates; 30g Olives noires de Nice; 30g Anchois; 2 c. à soupe Huile d'olive,"A colorful French Salade Niçoise with solid tuna chunks, halved boiled eggs, ripe red tomatoes, black olives, and anchovies."
Croque-Monsieur de Dinde et Comté,Le grand classique du bistro parisien réinventé avec du jambon de dinde savoureux et du Comté fondu.,lunch,2,540,32,42,26,B,4 tranches Pain de mie complet; 100g Jambon de dinde; 80g Comté râpé; 60g Sauce béchamel maison,"Golden-brown grilled French sandwich melted with bubbly Comté cheese on top, revealing slices of turkey ham inside."
Quiche aux Poireaux et Bacon de Bœuf,"Tarte salée traditionnelle garnie d'une fondue de poireaux, bacon de bœuf grillé et appareil crème-œufs.",lunch,2,510,20,38,30,B,1 Pâte brisée pure beurre; 300g Poireaux émincés; 80g Bacon de bœuf en dés; 150ml Crème fraîche 15%; 3 Œufs,"A slice of warm golden quiche with a crispy crust, showing layers of melted leeks and savory beef bacon pieces."
"Steak Haché de Bœuf, Sauce Poivre et Purée","Steak haché de bœuf français poêlé, nappé d'une sauce au poivre vert sans alcool et purée maison.",lunch,2,580,42,35,30,B,250g Steak haché bœuf 5% MG; 350g Pommes de terre; 50ml Crème liquide; 1 c. à soupe Poivre vert en grain; 50ml Bouillon de bœuf reduce,"Seared beef steak patty drenched in creamy green peppercorn sauce, served beside a swirl of smooth mashed potatoes."
Poulet Basquaise au Jus de Raisin et Poivrons,"Cuisses de poulet mijotées dans une piperade de poivrons rouges, tomates, ail et réduction de jus de raisin.",lunch,2,490,38,22,26,A,2 Cuisses de poulet sans peau; 300g Poivrons (rouge et vert); 200g Tomates concassées; 100ml Jus de raisin blanc (substitut vin); 100g Ail et oignon,Tender chicken thighs simmering in a rich red tomato and bell pepper sauce served in an earthenware dish.
Taboulé Frais à la Menthe et Poulet Grillé,"Semoule de blé fine parfumée au jus de citron, menthe fraîche, tomates fraîches et aiguillettes de poulet.",lunch,2,460,32,52,14,A,120g Semoule de couscous; 160g Aiguillettes de poulet grillées; 200g Tomates en dés; 1 bouquet Menthe et persil; 3 c. à soupe Jus de citron,A light salad bowl of fluffy herb tabbouleh topped with golden grilled chicken tenders and lemon wedges.
Filet de Cabillaud Rôti et Ratatouille Niçoise,"Dos de cabillaud cuit au four avec des herbes de Provence, servi sur une ratatouille fondante de légumes d'été.",lunch,2,380,36,18,16,A,"280g Dos de cabillaud; 400g Courgettes, aubergines, poivrons; 1.5 c. à soupe Huile d'olive; 1 c. à soupe Herbes de Provence","Flaky white cod fillet baked to perfection, resting on a bed of colorful simmered ratatouille vegetables."
"Galette de Sarrasin Complète (Œuf, Jambon de Dinde, Emmental)","Galette bretonne au blé noir garnie d'un œuf miroir, jambon de dinde et emmental râpé.",lunch,2,470,28,36,22,A,2 Galette de sarrasin; 80g Jambon de dinde; 50g Emmental râpé; 2 Œufs,"A square-folded dark buckwheat galette crepe with a sunny-side-up egg in the center, melted cheese, and turkey ham."
Tartine Chaud de Chèvre Frais et Miel avec Salade,"Tranches de baguette grillées surmontées de bûche de chèvre fondu, miel et noix, servies avec mesclun.",lunch,2,430,16,32,26,B,100g Baguette; 90g Fromage de chèvre en bûche; 15g Miel de thym; 100g Mesclun; 1 c. à soupe Vinaigrette,"Crispy toasted baguette rounds topped with melted goat cheese drizzled with honey, set beside a green mesclun salad."
Salade Lyonnaise au Bacon de Bœuf et Œuf Poché,"Salade de frisée croquante, croûtons à l'ail, dés de bacon de bœuf poêlés et œuf poché coulant.",lunch,2,390,20,22,24,A,150g Salade frisée; 70g Bacon de bœuf grillé; 2 Œufs pochés; 40g Croûtons au four; 1 c. à café Moutarde de Dijon,"Curly frisée salad featuring crisp fried beef bacon lardons, garlic croutons, and a runny poached egg on top."
Pavé de Saumon Poêlé et Riz Sauvage aux Courgettes,"Pavé de saumon croustillant côté peau, servi avec du riz sauvage et des courgettes sautées à l'ail.",lunch,2,520,34,38,25,A,260g Pavé de saumon frais; 100g sec Riz sauvage et basmati; 200g Courgettes; 1 c. à soupe Huile d'olive,Crispy pan-seared salmon fillet served over wild rice alongside sautéed zucchini slices with parsley.
Sauté de Veau Marengo sans Alcool,Morceaux de veau tendres mijotés dans une sauce tomate aromatique aux champignons et bouillon de volaille.,lunch,2,480,42,16,24,A,300g Épaule de veau; 150g Champignons de Paris; 200g Concentré de tomate & tomates; 250ml Bouillon de volaille; 100g Carottes,"Classic French veal stew cooked in rich red tomato sauce with button mushrooms and carrots, served in a Staub pot."
Omelette aux Champignons de Paris et Salade,"Omelette moelleuse garnie de champignons sautés au persil et à l'ail, servie avec salade verte.",lunch,2,360,20,8,27,A,5 Œufs; 180g Champignons de Paris; 1 c. à soupe Ail et persil; 15g Beurre; 80g Salade verte,"A tender French omelette bursting with garlic-sautéed mushrooms, accompanied by a light green side salad."
Grillade de Blanc de Poulet et Lentilles Vertes du Puy,Aiguillettes de poulet marinées aux herbes servies sur une salade tiède de lentilles vertes AOP.,lunch,2,440,42,38,12,A,260g Filet de poulet; 120g sec Lentilles vertes du Puy; 100g Carottes et oignons; 1 c. à soupe Moutarde à l'ancienne,Grilled chicken breasts placed on a bed of warm Puy green lentils cooked with diced carrots and herbs.
Tartine Périgourdine au Foie Gras et Magret Fumé,"Pain de campagne toasté, magret de canard fumé, copeaux de foie gras et chutney de figues.",lunch,2,510,22,36,30,B,90g Pain de campagne; 60g Magret de canard fumé; 40g Foie gras de canard; 20g Chutney de figue,"Elegantly plated French open-faced sandwich topped with smoked duck breast slices, fine foie gras, and fig chutney."
"Bowl de Quinoa, Légumes Rôtis et Escalope de Dinde","Bowl nutritionnel avec quinoa français, potimarron et courgettes rôtis, escalope de dinde grillée.",lunch,2,460,36,48,14,A,200g Quinoa cuit; 220g Escalope de dinde; 200g Potimarron & courgettes rôtis; 1 c. à soupe Huile d'olive,"A healthy lunch bowl with fluffy quinoa, roasted orange squash cubes, green zucchini, and sliced grilled turkey breast."
Aiguillettes de Canard au Miel et Purée de Patate Douce,"Aiguillettes de canard poêlées déglacées au miel et jus de raisin vert (verjus), purée de patate douce.",lunch,2,530,38,42,22,A,260g Aiguillettes de canard; 20g Miel de fleurs; 2 c. à soupe Verjus ou jus de citron; 300g Patate douce,Seared duck tenders with a shiny honey glaze served alongside orange sweet potato puree.
Croque-Madame à la Volaille et Œuf au Plat,Croque-monsieur garni de jambon de volaille et saupoudré d'un œuf au plat coulant sur le dessus.,lunch,2,580,35,43,29,B,4 tranches Pain de mie; 100g Jambon de dinde; 60g Swiss / Emmental; 2 Œufs; 15g Beurre,A hearty Croque Madame sandwich topped with a fried sunny-side-up egg with liquid yolk spilling over golden toasted bread.
Salade Périgourdine aux Gésiers Confits et Noix,"Salade champêtre aux gésiers de canard confits poêlés, cerneaux de noix et vinaigre de framboise.",lunch,2,470,24,18,34,A,150g Salade mélangée; 160g Gésiers de canard confits; 30g Cerneaux de noix; 1 c. à soupe Vinaigre de framboise,"Fresh oak leaf salad topped with warm pan-seared duck gizzards, toasted walnuts, and a raspberry vinaigrette."
Poisson Pané Maison au Four et Frites de Navet,"Filets de merlan panés à la chapelure maison cuits au four, accompagnés de frites de navet crémeuses.",lunch,2,410,32,34,16,A,280g Filet de merlan; 40g Chapelure de pain; 1 Œuf; 350g Navets coupés en frites; 1.5 c. à soupe Huile d'olive,Crispy oven-baked breaded fish fillets served with golden roasted turnip fries and lemon wedges.
Risotto d'Épeautre aux Champignons et Parmigiano,Petit épeautre de Haute-Provence cuit façon risotto avec une poêlée de champignons de paris et parmesan.,lunch,2,460,16,54,20,A,120g sec Petit épeautre; 200g Champignons variés; 400ml Bouillon de légumes; 30g Parmesan râpé,Creamy spelt grain risotto loaded with wild sautéed mushrooms and freshly grated Parmesan cheese.
"Wrap au Poulet Rôti, Crème de Ciboulette et Crudités","Tortilla garnie de restes de poulet rôti du dimanche, sauce fromage blanc-ciboulette et carottes râpées.",lunch,2,420,30,40,15,A,2 Galettes de blé; 160g Poulet rôti effiloché; 60g Fromage blanc 20%; 100g Carottes râpées & salade,"Two neatly rolled wraps cut diagonally showing shredded roast chicken, fresh green lettuce, and cool herb sauce."
Parmentier de Cabillaud à la Purée de Brocoli,Effiloché de cabillaud à l'aneth recouvert d'une purée verte de brocoli et pommes de terre gratinoée.,lunch,2,390,34,28,15,A,260g Filet de cabillaud; 300g Brocoli; 150g Pommes de terre; 20g Chapelure et beurre,A baked casserole dish showing a lightly browned gratin crust over vibrant green broccoli puree and tender white cod.
"Salade de Pâtes au Thon, Maïs et Tomates Cerises","Pâtes penné froides mélangées avec du thon, du maïs doux, des tomates cerises et une vinaigrette légère.",lunch,2,440,26,54,14,A,220g Pâtes penne cuites; 130g Thon en boîte; 80g Maïs doux; 100g Tomates cerises; 2 c. à soupe Vinaigrette,"A fresh cold pasta salad bowl with penne pasta, red cherry tomatoes, sweet corn, and flaked tuna in herbs."
Tartine Alsacienne 'Flammekueche' au Bacon de Bœuf,"Pain de campagne nappé de fromage blanc, oignons émincés et dés de bacon de bœuf, doré au oven.",lunch,2,460,20,48,21,B,120g Pain de campagne; 100g Fromage blanc / crème; 100g Oignons; 70g Bacon de bœuf,"Crispy toasted rustic flatbread covered in creamy white cheese spread, thinly sliced onions, and browned beef bacon bits."
Brochettes de Poulet Citronnelle et Ratatouille Froide,"Brochettes de blanc de poulet mariné au citron et thym, accompagnées de ratatouille froide.",lunch,2,410,38,16,21,A,280g Blanc de poulet; 1 Jus de citron & zestes; 300g Ratatouille cuite refroidie; 1 c. à soupe Huile d'olive,Grilled chicken skewers placed over a glass dish of chilled Provencal ratatouille vegetables.
"Tarte Fine aux Tomates, Moutarde et Thon","Pâte feuilletée fine badigeonnée de moutarde forte, garnie de thon et de rondelles de tomates fraîches.",lunch,2,450,22,38,24,B,1/2 Pâte feuilletée; 2 c. à soupe Moutarde de Dijon; 120g Thon en boîte; 200g Tomates,"A crispy baked French puff pastry tart topped with golden Dijon mustard, flaked tuna, and sliced red tomatoes."
Choux Farcis à la Viande d'Agneau et Herbes,Feuilles de chou vert garnies d'un haché d'agneau parfumé au persil et mijotées dans un bouillon.,lunch,2,430,32,14,27,A,6 Feuilles de chou vert; 240g Haché d'agneau maigre; 80g Oignon et ail; 200ml Bouillon de légumes,"Tender green cabbage rolls stuffed with savory minced lamb, sitting in a shallow flavorful broth."
Salade Tiède de Poulpe Mariné et Pommes Vapeur,"Poulpe cuit tendre mariné à l'huile d'olive et citron, servi tiède sur rondelles de pommes de terre.",lunch,2,420,28,28,22,A,240g Poulpe cuit; 200g Pommes de terre vapeur; 2 c. à soupe Persil et ail; 2 c. à soupe Huile d'olive,"Warm potato salad topped with tender sliced grilled octopus, drizzled with extra virgin olive oil and parsley."
Filet de Mignon de Veau aux Champignons et Purée,Médaillons de veau poêlés avec crème légère aux morilles et purée de pommes de terre à la vanille.,lunch,2,530,44,26,28,A,280g Filet mignon de veau; 100g Morilles / Champignons; 60ml Crème 15%; 250g Pommes de terre,Pan-seared veal tenderloin medallions covered in rich mushroom cream sauce with silky mashed potatoes.
Hachis Parmentier de Bœuf Traditionnel,Gratin familial composé d'une couche de bœuf haché assaisonné et d'une purée maison au beurre et muscade.,dinner,2,560,36,44,26,A,250g Bœuf haché 5% MG; 400g Pommes de terre; 100g Oignon et ail; 20g Beurre; 60ml Lait; 30g Emmental râpé,"A classic French Hachis Parmentier casserole with a browned, bubbly cheese crust over smooth mashed potatoes and savory minced beef."
Poulet Rôti du Dimanche et Pommes de Terre Saautées,"Cuisses de poulet rôties au four avec peau croustille, ail en chemise et pommes de terre grenailles.",dinner,2,580,42,32,31,B,2 Cuisses de poulet fermier; 350g Pommes de terre grenailles; 6 Gousses d'ail; 3 brins Thym et romarin; 1 c. à soupe Huile d'olive,Golden roast chicken legs surrounded by crispy roasted baby potatoes and whole garlic cloves on a baking dish.
Gratin Dauphinois Traditionnel,"Gratin de rondelles de pommes de terre fondantes cuites lentement au four avec de la crème, du lait et de l'ail.",dinner,2,490,10,48,29,B,500g Pommes de terre (Mona Lisa); 150ml Crème fraîche 30%; 150ml Lait entier; 1 Gousse d'ail; 1 pincée Noix de muscade,A creamy French Gratin Dauphinois with sliced potatoes baked to a golden brown perfection in a white ceramic dish.
Boeuf Bourguignon Sans Alcool au Jus de Raisin,"Bœuf mijoté fondant dans une sauce riche au jus de raisin rouge, bouillon de bœuf, carottes et champignons.",dinner,2,520,44,22,28,A,320g Palanche / Bœuf à mijoter; 200ml Jus de raisin rouge pur; 250ml Bouillon de bœuf fort; 150g Carottes; 120g Champignons de Paris; 6 Oignons grelots,"A rich French beef stew with tender beef chunks, sliced carrots, and mushrooms in a deep dark gravy in a cast-iron pot."
Ratatouille Niçoise Traditionnelle et Œufs au Plat,"Mijoté provençal de courgettes, aubergines, poivrons et tomates à l'huile d'olive, servi avec 2 œufs.",dinner,2,380,18,24,24,A,1 Aubergine; 2 Courgette; 1 Poivron rouge; 300g Tomates mûres; 2 c. à soupe Huile d'olive AOP; 2 Œufs,"Vibrant Provencal ratatouille with glossy cooked summer vegetables, topped with two sunny-side-up fried eggs."
Blanquette de Veau à la Crème et Riz Basmati,"Épaule de veau fondante mijotée dans un bouillon aromatique, nappée d'une sauce veloutée à la crème et citron.",dinner,2,540,42,40,23,A,300g Épaule de veau; 120g Champignons de Paris; 100g Carottes; 80ml Crème fraîche 15%; 1 Jaune d'œuf; 180g Riz basmati cuit,"Tender veal in a velvety white cream sauce served with tender white mushrooms, carrots, and fluffy basmati rice."
Bouillabaisse Simplifiée de Poissons et Rouille,"Soupe de poissons mijotée au fenouil, safran et tomates, servie avec croûtons et sauce rouille.",dinner,2,470,38,24,25,A,300g Filets de cabillaud et grondin; 400ml Fumet de poisson & tomates; 100g Fenouil & safran; 30g Sauce rouille; 30g Croûtons,A fragrant saffron-gold Mediterranean fish stew served with toasted baguette slices spread with garlic rouille mayo.
Tartiflette au Bacon de Bœuf et Reblochon AOP,"Plat savoyard réconfortant avec pommes de terre, oignons, bacon de bœuf grillé et demi-Reblochon fondu.",dinner,2,620,30,42,38,C,400g Pommes de terre; 140g Reblochon AOP; 80g Bacon de bœuf; 150g Oignons; 2 c. à soupe Crème fraîche,"A bubbly, golden melted Savoyard Tartiflette dish topped with creamy melted Reblochon cheese over potatoes and beef bacon."
Soupe à l'Oignon Gratinée au Comté,"Soupe traditionnelle aux oignons caramélisés au bouillon de bœuf, surmontée de croûtons et Comté gratiné.",dinner,2,390,16,32,22,A,400g Oignons jaunes; 600ml Bouillon de bœuf; 20g Beurre; 60g Baguette rassise; 60g Comté râpé,A steaming ceramic bowl of French onion soup topped with thick toasted bread and bubbly melted browned Comté cheese.
Filet de Canard Poêlé et Poêlée de Champignons,Magret de canard tranché avec sauce au jus de raisin rouge et poêlée de cèpes et persillade.,dinner,2,530,38,12,36,A,250g Magret de canard; 200g Cèpes ou champignons; 50ml Jus de raisin rouge (réduction); 2 c. à soupe Ail et persil,Sliced pink seared duck breast arranged on a plate next to sautéed wild mushrooms with fresh parsley.
Pot-au-Feu Familial au Bœuf et Légumes Racine,"Paleron de bœuf mijoté très lentement avec poireaux, carottes, navets, céleri et os à moelle.",dinner,2,460,44,20,22,A,"320g Paleron de bœuf; 400g Carottes, navets, poireaux; 1 Os à moelle; 1 Clous de girofle & bouquet garni","A rustic French Pot-au-Feu bowl filled with clear fragrant broth, tender beef chunks, whole carrots, leeks, and turnips."
Gratin de Courgettes et Chèvre Frais,"Rondelles de courgettes cuites au four dans un appareil léger à la crème, ail et fromage de chèvre frais.",dinner,2,340,14,18,24,A,500g Courgettes; 100g Fromage de chèvre frais; 100ml Crème légère 12%; 2 Œufs; 1 gousse Ail,A light summer vegetable gratin made with layered zucchini slices baked with soft white goat cheese.
Navarin d’Agneau aux Légumes Printaniers,"Sauté d'agneau fondant mijoté avec petits pois, carottes fanes, navets nouveaux et oignons grelots.",dinner,2,510,38,24,28,A,300g Épaule d'agneau en cubes; 100g Petits pois frais; 200g Carottes & navets nouveaux; 250ml Bouillon d'agneau/légumes,"A vibrant lamb stew filled with tender spring vegetables, tender green peas, and baby orange carrots in clear savory broth."
Cabillaud en Papillote aux Citrons et Fennel,"Papillote de cabillaud cuite au four avec émincé de fenouil, rondelles de citron et huile d'olive.",dinner,2,320,34,10,15,A,280g Dos de cabillaud; 250g Fenouil émincé; 1 Citron bio; 1.5 c. à soupe Huile d'olive extra vierge,Parchment paper envelope opened up to reveal steaming cooked cod fish over sliced fennel with lemon wheels.
Endives au Jambon de Dinde et Béchamel,"Endives braisées enroulées dans du jambon de dinde, nappées de sauce béchamel et gratinées au four.",dinner,2,420,24,28,23,B,4 Endives; 120g Jambon de dinde; 150ml Sauce béchamel maison; 40g Gruyère râpé,Belgian endives wrapped in turkey ham baked under a thick creamy white béchamel sauce with a browned top.
Cassoulet Léger de Volaille et Saucisse de Bœuf,Mijoté de haricots blancs lingots avec cuisse de canard confite et saucisse de bœuf artisanale.,dinner,2,590,42,46,26,B,300g Haricots blancs lingots cuits; 1 Cuisse de canard confite; 100g Saucisse de bœuf; 50g Concentré de tomate et ail,"A hearty French Cassoulet served in a traditional clay pot, loaded with white beans, duck confit, and roasted beef sausage."
Moussaka Réinventée à l'Agneau et Courgettes,"Alternance de tranches d'aubergines et courgettes rôties, viande d'agneau hachée aromatisée et béchamel.",dinner,2,480,32,22,30,B,400g Aubergines et courgettes; 220g Haché d'agneau; 150g Sauce tomate à l'origan; 100ml Béchamel légère,A layered baked eggplant and zucchini casserole with seasoned ground lamb and a rich browned béchamel layer on top.
